Actor_label,Country_label,Kpi_label_corporate,Fact_date,Kpi_value,,,
Broadway HD,USA,SVOD subscribers,2021-09-30,7417,,,
Broadway HD,USA,SVOD subscribers,2021-12-31,7565,,,
Broadway HD,USA,SVOD subscribers,2022-03-31,7716,,,
Broadway HD,USA,SVOD subscribers,2022-06-30,7871,,,
Broadway HD,USA,SVOD subscribers,2022-09-30,8028,,,
Broadway HD,USA,SVOD subscribers,2022-12-31,8189,,,
F1 TV,USA,SVOD subscribers,2021-03-31,56105,,,
F1 TV,USA,SVOD subscribers,2021-06-30,62628,,,
F1 TV,USA,SVOD subscribers,2021-09-30,82200,,,
F1 TV,USA,SVOD subscribers,2021-12-31,80243,,,
F1 TV,USA,SVOD subscribers,2022-03-31,100700,,,
F1 TV,USA,SVOD subscribers,2022-06-30,120445,,,
F1 TV,USA,SVOD subscribers,2022-09-30,140190,,,
F1 TV,USA,SVOD subscribers,2022-12-31,126171,,,
AsianCrush,USA,SVOD subscribers,2021-03-31,27309,,,
AsianCrush,USA,SVOD subscribers,2021-06-30,27856,,,
AsianCrush,USA,SVOD subscribers,2021-09-30,28413,,,
AsianCrush,USA,SVOD subscribers,2021-12-31,28981,,,
AsianCrush,USA,SVOD subscribers,2022-03-31,29561,,,
AsianCrush,USA,SVOD subscribers,2022-06-30,30152,,,
AsianCrush,USA,SVOD subscribers,2022-09-30,30755,,,
AsianCrush,USA,SVOD subscribers,2022-12-31,31370,,,
HiDive,USA,SVOD subscribers,2021-03-31,61930,,,
HiDive,USA,SVOD subscribers,2021-06-30,65646,,,
HiDive,USA,SVOD subscribers,2021-09-30,69585,,,
HiDive,USA,SVOD subscribers,2021-12-31,89100,,,
HiDive,USA,SVOD subscribers,2022-03-31,94050,,,
HiDive,USA,SVOD subscribers,2022-06-30,101970,,,
HiDive,USA,SVOD subscribers,2022-09-30,105930,,,
HiDive,USA,SVOD subscribers,2022-12-31,116820,,,
ESPN D2C,USA,SVOD subscribers,2021-03-31,13800000,,,
ESPN D2C,USA,SVOD subscribers,2021-06-30,14900000,,,
ESPN D2C,USA,SVOD subscribers,2021-09-30,17100000,,,
ESPN D2C,USA,SVOD subscribers,2021-12-31,21300000,,,
ESPN D2C,USA,SVOD subscribers,2022-03-31,22300000,,,
ESPN D2C,USA,SVOD subscribers,2022-06-30,22800000,,,
ESPN D2C,USA,SVOD subscribers,2022-09-30,24300000,,,
ESPN D2C,USA,SVOD subscribers,2022-12-31,24900000,,,
